datetime,emotion,confidence,score
2026-06-14 21:47:11.342877,Surprise,0.2980813682079315,90
2026-06-14 21:47:38.023009,Surprise,0.2980813682079315,90
2026-06-14 21:47:57.921228,Sad,0.4898147284984588,40
2026-06-14 21:48:25.161469,Surprise,0.2107092589139938,90
2026-06-14 21:48:44.525734,Sad,0.4898147284984588,40
2026-06-14 21:48:51.268043,Sad,0.2859362959861755,40
2026-06-14 21:49:36.901016,Sad,0.2859362959861755,40
2026-06-14 21:49:49.831903,Angry,0.2703982591629028,20
2026-06-14 21:50:11.575369,Sad,0.4898147284984588,40
2026-06-14 21:57:12.053093,Angry,0.2703982591629028,20
2026-06-14 21:58:28.284697,Sad,0.4898147284984588,40
2026-06-14 21:58:57.846475,Sad,0.4898147284984588,40
2026-06-14 22:00:54.170301,Angry,0.2703982591629028,20
2026-06-14 22:01:01.741262,Sad,0.4898147284984588,40
2026-06-14 22:02:02.248915,Sad,0.2531075775623321,40
2026-06-14 22:02:22.359294,Surprise,0.639534592628479,90
2026-06-14 22:02:35.868457,Sad,0.266798198223114,40
2026-06-14 22:05:51.420081,Sad,0.2560079991817474,40
2026-06-14 22:07:32.985126,Angry,0.3240430653095245,20
2026-06-15 09:18:37.004647,Neutral,0.3011792004108429,70
2026-06-15 09:20:09.625183,Neutral,0.2203711569309234,70
2026-06-15 09:20:19.052604,Angry,0.2106480300426483,20
2026-06-15 09:20:39.483086,Sad,0.2863657176494598,40
2026-06-15 11:26:39.793006,Sad,0.2406454086303711,40
2026-06-16 07:24:31.448300,Surprise,0.2490550726652145,90
2026-06-20 21:23:54.141499,Sad,0.2689187228679657,40
2026-06-20 22:02:29.895071,Sad,0.2689187228679657,40
2026-06-20 22:03:12.078316,Sad,0.2865032255649566,40
2026-06-20 22:03:28.467531,Sad,0.2309368699789047,40
2026-06-20 22:11:54.851043,Sad,0.4898147284984588,40
2026-06-20 23:58:06.708990,Sad,0.2689187228679657,40
2026-06-21 00:01:50.731193,Sad,0.4898147284984588,40
2026-06-22 06:43:06.276420,Sad,0.3167751729488373,40
2026-06-22 06:43:26.070606,Surprise,0.350747138261795,90
2026-06-22 06:43:42.942786,Surprise,0.2954584062099457,90
2026-06-22 06:43:55.170824,Happy,0.2249414175748825,100
2026-06-22 06:44:07.257660,Sad,0.3331559002399444,40
2026-06-22 06:44:17.179044,Surprise,0.3951036334037781,90
2026-06-22 06:44:32.682892,Surprise,0.3999168872833252,90
2026-06-22 06:44:56.940725,Surprise,0.3174133598804474,90
2026-06-22 06:45:07.588136,Sad,0.2689373791217804,40
2026-06-22 06:45:24.220696,Sad,0.2236455231904983,40
2026-06-22 06:46:35.800670,Angry,0.35054612159729,20
2026-06-22 06:48:42.822723,Sad,0.3168281316757202,40
2026-06-22 06:48:53.291231,Surprise,0.2654257714748382,90
2026-06-22 06:49:51.076864,Sad,0.5876563787460327,40
2026-06-22 06:50:30.991861,Sad,0.3182897269725799,40
2026-06-22 07:02:14.492753,Sad,0.3159998655319214,40
2026-06-22 07:15:59.833760,Happy,0.2247658520936966,100
2026-06-22 07:16:17.118145,Happy,0.2788222432136535,100
2026-06-22 07:16:27.456342,Neutral,0.4077146649360657,70
2026-06-22 07:16:44.280485,Sad,0.5756577849388123,40
2026-06-22 07:17:01.619503,Sad,0.3948954045772552,40
2026-06-22 07:17:21.679493,Neutral,0.3675301373004913,70
2026-06-22 07:17:41.257702,Neutral,0.3675301373004913,70
2026-06-22 07:17:49.344133,Sad,0.3159998655319214,40
2026-06-22 07:18:14.460974,Neutral,0.3232752382755279,70
2026-06-22 07:18:58.364556,Neutral,0.3113927841186523,70
2026-06-22 07:20:01.159496,Fear,0.2862286865711212,30
2026-06-22 07:20:11.178943,Happy,0.2387462705373764,100
2026-06-22 07:20:20.243226,Sad,0.3159850537776947,40
2026-06-22 07:20:31.864963,Neutral,0.2746467888355255,70
